pop_cd,year,month,avg_score,avg_rat,new_avg_rat,sex,ages,monthly_spend_rat,population,num_opencard,num_usecard,monthly_card_spend,monthly_lc,monthly_loan,monthly_bk_loan,monthly_cd_loan,monthly_installments_loan,monthly_insurance_loan,monthly_sbk_loan,loan_commitment,inst_rep_loanb,ls_rep_loanb,credit_loan,mortgage_loan,credit_card_payment,credit_card_installments_payment,debit_card_payment,monthly_spend,date
Y25,2017,1,784,4,5,여자,20대,3,3593000,3.64,1.87,920000,35260000,29640000,20200000,820000,2610000,1070000,1560000,3350000,12880000,12320000,15820000,42810000,316000,117000,487000,803000,2017-01-01
Y25,2017,2,784,4,5,여자,20대,3,3589000,3.64,1.87,880000,35250000,29600000,20030000,810000,2590000,1060000,1750000,3320000,12830000,12370000,15830000,42680000,306000,110000,464000,770000,2017-02-01
Y25,2017,3,785,4,4,여자,20대,3,3584000,3.64,1.86,850000,35340000,29740000,20170000,820000,2580000,1070000,1770000,3300000,12910000,12460000,15910000,42980000,285000,107000,458000,743000,2017-03-01
Y25,2017,4,785,4,4,여자,20대,3,3594000,3.65,1.87,950000,35440000,29910000,20280000,830000,2620000,1070000,1760000,3310000,13020000,12520000,16060000,43340000,319000,121000,510000,829000,2017-04-01
Y25,2017,5,785,4,4,여자,20대,3,3599000,3.63,1.87,890000,35660000,30170000,20490000,840000,2620000,1050000,1770000,3300000,13150000,12660000,16180000,43790000,308000,113000,469000,777000,2017-05-01
Y25,2017,6,785,4,4,여자,20대,3,3605000,3.64,1.87,980000,35800000,30320000,20580000,850000,2640000,1050000,1790000,3310000,13230000,12700000,16300000,44020000,336000,121000,523000,859000,2017-06-01
Y25,2017,7,786,4,4,여자,20대,3,3608000,3.63,1.87,920000,36010000,30600000,20860000,860000,2650000,1040000,1760000,3310000,13430000,12790000,16470000,44430000,319000,115000,486000,805000,2017-07-01
Y25,2017,8,786,4,4,여자,20대,3,3612000,3.63,1.88,960000,35960000,30640000,20960000,860000,2640000,1020000,1750000,3310000,13470000,12790000,16640000,43700000,333000,122000,505000,838000,2017-08-01
Y25,2017,9,786,4,4,여자,20대,3,3620000,3.63,1.88,960000,35940000,30700000,21030000,860000,2630000,1000000,1750000,3340000,13500000,12810000,16850000,43360000,334000,117000,509000,843000,2017-09-01
Y25,2017,10,787,4,4,여자,20대,3,3625000,3.62,1.88,940000,36040000,30820000,21110000,870000,2620000,990000,1800000,3340000,13570000,12860000,16930000,43590000,332000,120000,488000,820000,2017-10-01
Y25,2017,11,787,4,4,여자,20대,3,3630000,3.62,1.88,940000,36020000,30870000,21180000,880000,2620000,980000,1810000,3300000,13580000,12930000,16990000,43570000,324000,116000,500000,824000,2017-11-01
Y25,2017,12,787,4,4,여자,20대,3,3636000,3.61,1.87,950000,36180000,30960000,21270000,880000,2630000,980000,1790000,3310000,13620000,12970000,17120000,43570000,328000,132000,490000,818000,2017-12-01
Y30,2016,1,748,4,5,남자,30대,2,4457000,4.3,2.43,1530000,72690000,61920000,48370000,900000,4440000,2200000,960000,9880000,28640000,22010000,29870000,74390000,892000,200000,438000,1330000,2016-01-01
Y30,2016,2,788,3,4,남자,30대,2,4665000,3.95,2.04,1550000,80220000,68230000,53790000,1010000,4500000,2570000,970000,10930000,31870000,23900000,31820000,81350000,914000,214000,422000,1336000,2016-02-01
Y30,2016,3,789,3,4,남자,30대,2,4669000,3.95,2.04,1470000,80570000,68440000,53850000,1020000,4520000,2580000,1030000,10990000,31740000,24180000,32000000,81600000,874000,186000,410000,1284000,2016-03-01
Y30,2016,4,789,3,4,남자,30대,1,4666000,3.95,2.04,1620000,81260000,68980000,54350000,1010000,4520000,2560000,1060000,10990000,31690000,24790000,32220000,81950000,967000,214000,439000,1406000,2016-04-01
Y30,2016,5,789,3,4,남자,30대,1,4671000,3.94,2.04,1570000,82150000,69670000,54900000,1020000,4540000,2560000,1090000,11020000,31900000,25240000,32490000,82700000,941000,206000,423000,1364000,2016-05-01
Y30,2016,6,789,3,4,남자,30대,1,4676000,3.93,2.04,1690000,83210000,70550000,55580000,1030000,4590000,2580000,1120000,11060000,32260000,25680000,32820000,83620000,1020000,217000,453000,1473000,2016-06-01
Y30,2016,7,790,3,4,남자,30대,1,4688000,3.91,2.03,1630000,83880000,71290000,56110000,1040000,4600000,2590000,1190000,11100000,32670000,25980000,33060000,84480000,993000,211000,426000,1419000,2016-07-01
Y30,2016,8,791,3,4,남자,30대,1,4698000,3.9,2.03,1660000,84730000,72170000,56860000,1060000,4620000,2590000,1220000,11130000,33230000,26260000,33370000,85470000,999000,228000,433000,1432000,2016-08-01
Y30,2016,9,790,3,4,남자,30대,1,4699000,3.91,2.03,1700000,85740000,73210000,57620000,1060000,4640000,2700000,1260000,11160000,33930000,26570000,33690000,86560000,1022000,211000,467000,1489000,2016-09-01
Y30,2016,10,791,3,4,남자,30대,1,4704000,3.9,2.03,1600000,86370000,73800000,58080000,1070000,4640000,2720000,1260000,11200000,34050000,27010000,33880000,87130000,963000,199000,438000,1401000,2016-10-01
Y30,2016,11,791,3,4,남자,30대,1,4708000,3.88,2.03,1680000,87330000,74730000,58800000,1090000,4650000,2760000,1290000,11220000,34520000,27440000,34230000,88250000,1008000,220000,452000,1460000,2016-11-01
Y30,2016,12,791,3,4,남자,30대,1,4711000,3.87,2.03,1650000,88010000,75300000,59130000,1100000,4700000,2820000,1320000,11240000,34750000,27750000,34450000,89030000,993000,223000,434000,1427000,2016-12-01
Y30,2017,1,791,3,4,남자,30대,1,4744000,3.83,2.01,1750000,88380000,75600000,59180000,1110000,4750000,2880000,1340000,11290000,34720000,28050000,34590000,89470000,1071000,224000,455000,1526000,2017-01-01
Y30,2017,2,791,3,4,남자,30대,1,4741000,3.82,2.01,1720000,88500000,75630000,58960000,1120000,4750000,2890000,1500000,11260000,34470000,28350000,34630000,89580000,1038000,224000,458000,1496000,2017-02-01
Y30,2017,3,792,3,4,남자,30대,1,4743000,3.82,2.0,1570000,88830000,75970000,59280000,1130000,4740000,2890000,1510000,11250000,34650000,28530000,34790000,90090000,950000,203000,417000,1367000,2017-03-01
Y30,2017,4,792,3,4,남자,30대,1,4740000,3.82,2.01,1750000,89150000,76330000,59490000,1140000,4800000,2880000,1520000,11260000,34690000,28850000,35060000,90600000,1063000,225000,462000,1525000,2017-04-01
Y30,2017,5,792,3,4,남자,30대,1,4742000,3.81,2.01,1680000,89660000,76860000,59890000,1150000,4830000,2860000,1530000,11250000,34880000,29190000,35310000,91180000,1022000,222000,436000,1458000,2017-05-01
Y30,2017,6,792,3,4,남자,30대,1,4745000,3.81,2.01,1830000,90020000,77200000,60100000,1160000,4870000,2840000,1550000,11280000,34940000,29440000,35580000,91540000,1107000,238000,485000,1592000,2017-06-01
Y30,2017,7,792,3,4,남자,30대,1,4750000,3.8,2.01,1720000,90640000,77860000,60680000,1170000,4900000,2820000,1520000,11340000,35220000,29760000,35940000,92010000,1048000,222000,450000,1498000,2017-07-01
Y30,2017,8,793,3,4,남자,30대,1,4752000,3.79,2.01,1810000,91330000,78610000,61400000,1170000,4890000,2800000,1530000,11550000,35470000,30050000,36510000,92130000,1095000,242000,473000,1568000,2017-08-01
Y30,2017,9,793,3,4,남자,30대,1,4755000,3.8,2.01,1780000,91830000,79170000,61920000,1170000,4880000,2770000,1550000,11750000,35740000,30150000,37120000,92170000,1088000,216000,476000,1564000,2017-09-01
Y30,2017,10,793,3,4,남자,30대,1,4758000,3.79,2.01,1750000,92310000,79680000,62400000,1180000,4860000,2750000,1560000,11860000,36030000,30270000,37510000,92510000,1076000,221000,453000,1529000,2017-10-01
Y30,2017,11,793,3,4,남자,30대,1,4759000,3.78,2.01,1750000,92880000,80270000,62890000,1190000,4870000,2750000,1590000,11900000,36260000,30590000,37880000,92960000,1057000,217000,476000,1533000,2017-11-01
Y30,2017,12,793,3,4,남자,30대,1,4766000,3.78,2.0,1770000,93420000,80700000,63230000,1200000,4890000,2760000,1590000,11970000,36420000,30780000,38150000,93260000,1072000,239000,459000,1531000,2017-12-01
Y35,2016,1,770,3,5,여자,30대,2,3944000,4.65,2.6,1430000,56060000,46830000,34740000,1440000,3220000,2320000,840000,6750000,21660000,16280000,20480000,70170000,755000,259000,416000,1171000,2016-01-01
Y35,2016,2,818,3,2,여자,30대,2,4131000,4.32,2.26,1400000,61700000,51480000,38360000,1580000,3310000,2760000,830000,7040000,24320000,17780000,21230000,77470000,755000,255000,390000,1145000,2016-02-01
Y35,2016,3,818,3,2,여자,30대,2,4129000,4.34,2.25,1340000,62100000,51730000,38500000,1580000,3310000,2770000,890000,7100000,24300000,17990000,21350000,77780000,724000,233000,383000,1107000,2016-03-01
Y35,2016,4,819,3,2,여자,30대,2,4122000,4.34,2.26,1490000,62570000,52080000,38800000,1570000,3330000,2770000,900000,7110000,24300000,18340000,21470000,78140000,796000,268000,426000,1222000,2016-04-01
Y35,2016,5,819,3,2,여자,30대,2,4121000,4.33,2.26,1440000,63230000,52540000,39140000,1580000,3350000,2770000,930000,7120000,24420000,18670000,21630000,78670000,781000,254000,405000,1186000,2016-05-01
Y35,2016,6,819,3,2,여자,30대,2,4122000,4.33,2.27,1550000,63980000,53140000,39580000,1600000,3400000,2790000,940000,7150000,24650000,18980000,21890000,79310000,844000,270000,436000,1280000,2016-06-01
Y35,2016,7,819,3,2,여자,30대,2,4130000,4.32,2.26,1480000,64390000,53610000,39900000,1600000,3410000,2800000,980000,7170000,24880000,19200000,22020000,80080000,815000,256000,409000,1224000,2016-07-01
Y35,2016,8,820,3,2,여자,30대,2,4135000,4.32,2.27,1520000,64970000,54220000,40390000,1620000,3430000,2800000,1000000,7190000,25240000,19420000,22210000,80880000,832000,268000,420000,1252000,2016-08-01
Y35,2016,9,820,3,2,여자,30대,2,4135000,4.32,2.27,1560000,65610000,54890000,40840000,1630000,3470000,2880000,1030000,7210000,25680000,19630000,22440000,81730000,859000,257000,444000,1303000,2016-09-01
Y35,2016,10,820,3,2,여자,30대,2,4137000,4.32,2.26,1480000,66100000,55350000,41180000,1630000,3480000,2900000,1030000,7240000,25800000,19940000,22550000,82220000,809000,251000,420000,1229000,2016-10-01
Y35,2016,11,820,3,2,여자,30대,2,4139000,4.3,2.27,1560000,66820000,56020000,41650000,1640000,3500000,2940000,1060000,7260000,26150000,20230000,22810000,83110000,852000,277000,431000,1283000,2016-11-01
Y35,2016,12,820,3,2,여자,30대,2,4138000,4.31,2.26,1550000,67360000,56470000,41870000,1660000,3540000,3000000,1080000,7260000,26350000,20460000,22990000,83710000,841000,287000,422000,1263000,2016-12-01
Y35,2017,1,820,3,2,여자,30대,2,4152000,4.27,2.25,1600000,67700000,56780000,41980000,1660000,3580000,3060000,1110000,7300000,26430000,20660000,23110000,84190000,883000,280000,437000,1320000,2017-01-01
Y35,2017,2,820,3,2,여자,30대,2,4150000,4.26,2.25,1540000,67900000,56890000,41860000,1670000,3580000,3080000,1270000,7270000,26320000,20910000,23180000,84320000,858000,268000,414000,1272000,2017-02-01
Y35,2017,3,821,3,2,여자,30대,2,4148000,4.27,2.24,1470000,68160000,57190000,42100000,1670000,3590000,3090000,1290000,7280000,26450000,21070000,23330000,84760000,809000,255000,406000,1215000,2017-03-01
Y35,2017,4,821,3,2,여자,30대,1,4144000,4.27,2.25,1630000,68390000,57490000,42240000,1680000,3650000,3080000,1300000,7290000,26560000,21260000,23510000,85240000,892000,285000,453000,1345000,2017-04-01
Y35,2017,5,821,3,2,여자,30대,2,4143000,4.26,2.26,1560000,68760000,57900000,42530000,1690000,3660000,3060000,1320000,7300000,26720000,21500000,23710000,85740000,863000,272000,425000,1288000,2017-05-01
Y35,2017,6,821,3,2,여자,30대,1,4144000,4.26,2.26,1700000,69020000,58140000,42680000,1700000,3700000,3040000,1340000,7320000,26810000,21620000,23900000,86020000,936000,292000,472000,1408000,2017-06-01
Y35,2017,7,821,3,2,여자,30대,2,4144000,4.25,2.26,1590000,69440000,58650000,43120000,1710000,3720000,3030000,1330000,7350000,27050000,21870000,24170000,86670000,881000,269000,440000,1321000,2017-07-01
Y35,2017,8,821,3,2,여자,30대,1,4143000,4.25,2.26,1650000,69770000,59090000,43520000,1710000,3720000,3000000,1360000,7440000,27220000,22040000,24520000,86370000,917000,285000,448000,1365000,2017-08-01
Y35,2017,9,821,3,2,여자,30대,1,4144000,4.26,2.27,1630000,69870000,59290000,43680000,1710000,3720000,2980000,1370000,7530000,27350000,22020000,24880000,85910000,913000,265000,452000,1365000,2017-09-01
Y35,2017,10,822,3,2,여자,30대,1,4144000,4.26,2.27,1640000,70120000,59580000,43930000,1710000,3720000,2970000,1400000,7610000,27530000,22070000,25120000,86070000,913000,282000,445000,1358000,2017-10-01
Y35,2017,11,822,3,2,여자,30대,1,4140000,4.25,2.27,1620000,70430000,59940000,44220000,1720000,3730000,2960000,1430000,7640000,27690000,22230000,25380000,86260000,888000,271000,461000,1349000,2017-11-01
Y35,2017,12,822,3,2,여자,30대,1,4142000,4.25,2.27,1670000,70720000,60170000,44430000,1720000,3750000,2950000,1430000,7680000,27790000,22340000,25570000,86320000,908000,307000,455000,1363000,2017-12-01
Y40,2016,1,743,4,5,남자,40대,1,4856000,4.13,2.56,1930000,98240000,84330000,67020000,1290000,4650000,3390000,900000,15360000,38910000,28170000,35000000,100060000,1169000,280000,481000,1650000,2016-01-01
Y40,2016,2,779,4,5,남자,40대,1,5090000,3.52,1.96,1820000,100480000,86260000,68490000,1320000,4630000,3380000,900000,15980000,38720000,29650000,35270000,102860000,1072000,288000,460000,1532000,2016-02-01
Y40,2016,3,779,4,5,남자,40대,1,5094000,3.53,1.96,1700000,100770000,86440000,68530000,1320000,4660000,3390000,950000,16080000,38690000,29740000,35340000,103300000,1011000,241000,448000,1459000,2016-03-01
Y40,2016,4,780,4,5,남자,40대,1,5084000,3.54,1.97,1850000,101390000,86880000,68850000,1320000,4670000,3410000,980000,16090000,38820000,30060000,35450000,103770000,1102000,265000,483000,1585000,2016-04-01
Y40,2016,5,780,4,5,남자,40대,1,5088000,3.53,1.97,1790000,102150000,87480000,69260000,1330000,4720000,3420000,1010000,16110000,39050000,30390000,35660000,104420000,1070000,260000,460000,1530000,2016-05-01
Y40,2016,6,781,4,5,남자,40대,1,5089000,3.54,1.98,1920000,103050000,88220000,69770000,1350000,4780000,3440000,1050000,16150000,39400000,30700000,35980000,105120000,1161000,267000,492000,1653000,2016-06-01
Y40,2016,7,781,4,5,남자,40대,1,5095000,3.52,1.97,1870000,103710000,88910000,70220000,1360000,4800000,3470000,1110000,16180000,39770000,30980000,36200000,105930000,1135000,262000,473000,1608000,2016-07-01
Y40,2016,8,782,4,5,남자,40대,1,5095000,3.53,1.98,1960000,104440000,89630000,70780000,1380000,4840000,3480000,1140000,16210000,40250000,31190000,36430000,106740000,1182000,300000,478000,1660000,2016-08-01
Y40,2016,9,782,4,5,남자,40대,1,5099000,3.54,1.98,1970000,105240000,90400000,71210000,1400000,4870000,3630000,1170000,16200000,40840000,31350000,36640000,107430000,1195000,266000,509000,1704000,2016-09-01
Y40,2016,10,783,4,5,남자,40대,1,5100000,3.54,1.98,1840000,105890000,90940000,71600000,1410000,4880000,3670000,1180000,16240000,41030000,31660000,36720000,108070000,1115000,255000,470000,1585000,2016-10-01
Y40,2016,11,783,4,5,남자,40대,1,5101000,3.53,1.99,1930000,106820000,91800000,72180000,1440000,4910000,3720000,1210000,16280000,41490000,31990000,36980000,109070000,1158000,283000,489000,1647000,2016-11-01
Y40,2016,12,783,4,5,남자,40대,1,5107000,3.53,1.99,1910000,107470000,92340000,72400000,1460000,4970000,3800000,1240000,16300000,41770000,32210000,37160000,109750000,1154000,279000,477000,1631000,2016-12-01
Y40,2017,1,784,3,5,남자,40대,1,5137000,3.51,1.98,2050000,108000000,92770000,72550000,1470000,5040000,3870000,1260000,16360000,41900000,32440000,37260000,110370000,1258000,291000,501000,1759000,2017-01-01
Y40,2017,2,784,3,5,남자,40대,1,5140000,3.51,1.99,2010000,108250000,92870000,72380000,1490000,5050000,3890000,1390000,16320000,41890000,32590000,37280000,110650000,1231000,300000,479000,1710000,2017-02-01
Y40,2017,3,784,3,5,남자,40대,1,5138000,3.52,1.99,1850000,108640000,93210000,72610000,1500000,5070000,3910000,1400000,16320000,42090000,32720000,37400000,111120000,1140000,262000,448000,1588000,2017-03-01
Y40,2017,4,784,3,5,남자,40대,1,5130000,3.53,2.0,2040000,109000000,93550000,72770000,1520000,5150000,3910000,1400000,16330000,42260000,32880000,37550000,111650000,1256000,282000,502000,1758000,2017-04-01
Y40,2017,5,785,3,4,남자,40대,1,5129000,3.53,2.0,1960000,109500000,94000000,73070000,1530000,5190000,3900000,1410000,16320000,42520000,33070000,37750000,112090000,1204000,282000,474000,1678000,2017-05-01
Y40,2017,6,785,3,4,남자,40대,1,5129000,3.54,2.01,2120000,109990000,94380000,73250000,1550000,5260000,3890000,1430000,16310000,42720000,33250000,37980000,112490000,1312000,293000,515000,1827000,2017-06-01
Y40,2017,7,785,3,4,남자,40대,1,5133000,3.54,2.01,2020000,110680000,95050000,73780000,1560000,5300000,3890000,1410000,16350000,43100000,33510000,38200000,113110000,1254000,279000,487000,1741000,2017-07-01
Y40,2017,8,786,3,4,남자,40대,1,5136000,3.54,2.02,2160000,111260000,95620000,74270000,1580000,5330000,3880000,1430000,16480000,43350000,33680000,38630000,113170000,1326000,325000,509000,1835000,2017-08-01
Y40,2017,9,786,3,4,남자,40대,1,5135000,3.56,2.03,2100000,111710000,96060000,74620000,1590000,5360000,3870000,1440000,16610000,43580000,33740000,39090000,113150000,1312000,276000,512000,1824000,2017-09-01
Y40,2017,10,786,3,4,남자,40대,1,5135000,3.56,2.03,2060000,112220000,96480000,74930000,1590000,5360000,3870000,1470000,16720000,43870000,33780000,39400000,113440000,1284000,284000,492000,1776000,2017-10-01
Y40,2017,11,786,3,4,남자,40대,1,5138000,3.56,2.04,2060000,112770000,97010000,75280000,1620000,5410000,3880000,1520000,16740000,44130000,33990000,39750000,113810000,1262000,283000,515000,1777000,2017-11-01
Y40,2017,12,787,3,4,남자,40대,1,5160000,3.56,2.04,2090000,113350000,97430000,75590000,1630000,5450000,3900000,1530000,16790000,44360000,34130000,39990000,114100000,1284000,308000,498000,1782000,2017-12-01
Y45,2016,1,764,4,5,여자,40대,2,4515000,4.25,2.62,1650000,77210000,65360000,48840000,1700000,3240000,4000000,660000,8420000,31760000,22720000,21050000,94760000,870000,339000,441000,1311000,2016-01-01
Y45,2016,2,808,3,3,여자,40대,2,4708000,3.77,2.15,1570000,79670000,67420000,50320000,1680000,3190000,4100000,640000,8440000,32250000,24320000,20880000,96920000,813000,330000,427000,1240000,2016-02-01
Y45,2016,3,809,3,3,여자,40대,2,4712000,3.79,2.15,1490000,79860000,67500000,50330000,1680000,3190000,4100000,680000,8520000,32230000,24330000,20930000,97250000,773000,296000,421000,1194000,2016-03-01
Y45,2016,4,809,3,3,여자,40대,2,4702000,3.8,2.16,1610000,80410000,67890000,50610000,1680000,3210000,4130000,710000,8530000,32360000,24580000,21020000,97680000,838000,327000,445000,1283000,2016-04-01
Y45,2016,5,810,3,3,여자,40대,2,4705000,3.8,2.16,1540000,81090000,68420000,50960000,1700000,3230000,4140000,720000,8540000,32580000,24870000,21170000,98320000,806000,308000,426000,1232000,2016-05-01
Y45,2016,6,810,3,3,여자,40대,1,4705000,3.81,2.17,1670000,81910000,69070000,51390000,1710000,3280000,4180000,740000,8570000,32890000,25160000,21400000,99020000,882000,326000,462000,1344000,2016-06-01
Y45,2016,7,810,3,3,여자,40대,2,4708000,3.8,2.17,1600000,82420000,69620000,51710000,1720000,3300000,4210000,780000,8590000,33170000,25390000,21550000,99780000,853000,309000,438000,1291000,2016-07-01
Y45,2016,8,811,3,3,여자,40대,1,4706000,3.81,2.18,1680000,83050000,70250000,52150000,1730000,3320000,4230000,800000,8600000,33560000,25610000,21700000,100570000,899000,338000,443000,1342000,2016-08-01
