pop_cd,year,month,avg_score,avg_rat,new_avg_rat,city,ages,monthly_spend_rat,population,num_opencard,num_usecard,monthly_card_spend,monthly_lc,monthly_loan,monthly_bk_loan,monthly_cd_loan,monthly_installments_loan,monthly_insurance_loan,monthly_sbk_loan,loan_commitment,inst_rep_loanb,ls_rep_loanb,credit_loan,mortgage_loan,credit_card_payment,credit_card_installments_payment,debit_card_payment,monthly_spend,date
L012,2017,5,786,4,4,서울,20대,3,1625000,3.61,1.78,900000,39390000,34330000,26430000,790000,2420000,800000,1660000,5320000,14090000,13910000,21020000,47210000,321000,94000,485000,806000,2017-05-01
L012,2017,6,786,4,4,서울,20대,3,1627000,3.61,1.78,990000,39490000,34490000,26630000,800000,2420000,770000,1670000,5330000,14150000,13990000,21180000,47400000,352000,100000,538000,890000,2017-06-01
L012,2017,7,786,4,4,서울,20대,3,1629000,3.61,1.78,940000,39790000,34840000,26990000,800000,2430000,760000,1650000,5320000,14350000,14160000,21410000,47800000,336000,96000,508000,844000,2017-07-01
L012,2017,8,786,4,4,서울,20대,3,1632000,3.61,1.79,980000,39910000,34980000,27220000,800000,2400000,730000,1630000,5320000,14350000,14320000,21730000,46900000,354000,101000,525000,879000,2017-08-01
L012,2017,9,786,4,4,서울,20대,3,1635000,3.61,1.79,980000,40040000,35230000,27530000,800000,2390000,710000,1630000,5390000,14340000,14500000,22070000,46620000,355000,98000,527000,882000,2017-09-01
L012,2017,10,787,4,4,서울,20대,3,1639000,3.6,1.79,960000,40010000,35240000,27540000,800000,2380000,700000,1650000,5350000,14280000,14620000,22120000,46700000,351000,100000,509000,860000,2017-10-01
L012,2017,11,787,4,4,서울,20대,3,1639000,3.6,1.78,960000,39880000,35200000,27500000,820000,2380000,690000,1650000,5290000,14130000,14780000,22210000,46540000,344000,97000,519000,863000,2017-11-01
L012,2017,12,787,4,4,서울,20대,3,1639000,3.6,1.78,950000,40040000,35240000,27570000,820000,2380000,670000,1630000,5370000,13940000,14930000,22460000,46290000,345000,109000,496000,841000,2017-12-01
L022,2016,1,726,4,5,인천,20대,4,303000,3.8,1.95,720000,28760000,24690000,15850000,560000,3430000,1130000,1370000,1590000,14640000,7670000,11690000,33800000,213000,78000,429000,642000,2016-01-01
L022,2016,2,764,4,5,인천,20대,4,429000,3.68,1.81,740000,33450000,28600000,19310000,630000,3620000,1140000,1280000,2320000,16160000,9190000,13700000,38470000,247000,86000,407000,654000,2016-02-01
L022,2016,3,764,4,5,인천,20대,4,429000,3.69,1.8,740000,33830000,28580000,19210000,640000,3610000,1160000,1350000,2270000,16120000,9260000,13720000,38320000,240000,80000,420000,660000,2016-03-01
L022,2016,4,765,4,5,인천,20대,3,430000,3.7,1.81,800000,34120000,28940000,19420000,650000,3610000,1180000,1370000,2280000,16220000,9510000,13850000,38800000,264000,92000,444000,708000,2016-04-01
L022,2016,5,764,4,5,인천,20대,3,431000,3.7,1.82,770000,35360000,29430000,19710000,660000,3630000,1190000,1400000,2260000,16330000,9900000,14080000,39340000,258000,87000,425000,683000,2016-05-01
L022,2016,6,764,4,5,인천,20대,3,431000,3.7,1.83,840000,35710000,29750000,19840000,680000,3690000,1190000,1440000,2250000,16510000,10050000,14240000,39740000,282000,93000,465000,747000,2016-06-01
L022,2016,7,765,4,5,인천,20대,3,431000,3.68,1.83,800000,35950000,30060000,19940000,680000,3700000,1170000,1540000,2250000,16740000,10140000,14340000,40260000,277000,89000,434000,711000,2016-07-01
L022,2016,8,766,4,5,인천,20대,3,431000,3.68,1.84,820000,36330000,30510000,20350000,690000,3690000,1150000,1540000,2260000,17020000,10280000,14450000,40960000,278000,95000,447000,725000,2016-08-01
L022,2016,9,766,4,5,인천,20대,3,432000,3.69,1.85,860000,36720000,30960000,20770000,700000,3690000,1180000,1570000,2260000,17320000,10440000,14670000,41490000,288000,92000,480000,768000,2016-09-01
L022,2016,10,766,4,5,인천,20대,3,432000,3.69,1.84,820000,37120000,31250000,21010000,720000,3680000,1220000,1590000,2230000,17510000,10550000,14790000,41750000,272000,89000,459000,731000,2016-10-01
L022,2016,11,766,4,5,인천,20대,3,433000,3.69,1.84,840000,37830000,32020000,21600000,720000,3670000,1230000,1640000,2240000,17570000,11250000,15400000,42570000,286000,96000,458000,744000,2016-11-01
L022,2016,12,766,4,5,인천,20대,3,433000,3.7,1.84,840000,38080000,32400000,21860000,740000,3720000,1220000,1670000,2240000,17740000,11460000,15480000,43730000,284000,102000,454000,738000,2016-12-01
L022,2017,1,767,4,5,인천,20대,3,433000,3.69,1.84,870000,38020000,32350000,21730000,750000,3750000,1240000,1690000,2200000,17670000,11520000,15460000,43800000,302000,99000,469000,771000,2017-01-01
L022,2017,2,767,4,5,인천,20대,3,432000,3.73,1.86,850000,38190000,32470000,21750000,740000,3740000,1220000,1860000,2220000,17660000,11640000,15480000,44070000,288000,96000,466000,754000,2017-02-01
L022,2017,3,768,4,5,인천,20대,3,431000,3.72,1.86,810000,38260000,32510000,21770000,750000,3740000,1200000,1880000,2190000,17660000,11730000,15550000,44120000,268000,91000,451000,719000,2017-03-01
L022,2017,4,768,4,5,인천,20대,3,432000,3.73,1.86,910000,38470000,32740000,21870000,760000,3810000,1200000,1870000,2190000,17730000,11890000,15770000,44480000,307000,104000,499000,806000,2017-04-01
L022,2017,5,768,4,5,인천,20대,3,433000,3.73,1.86,860000,38630000,33050000,22140000,770000,3820000,1200000,1880000,2240000,17810000,12060000,15950000,44870000,294000,98000,468000,762000,2017-05-01
L022,2017,6,769,4,5,인천,20대,3,433000,3.73,1.87,940000,38760000,33160000,22200000,790000,3870000,1180000,1880000,2220000,17810000,12170000,16040000,45010000,321000,106000,513000,834000,2017-06-01
L022,2017,7,769,4,5,인천,20대,3,433000,3.72,1.87,900000,39010000,33400000,22490000,800000,3920000,1180000,1860000,2200000,17990000,12260000,16180000,44990000,310000,102000,488000,798000,2017-07-01
L022,2017,8,769,4,5,인천,20대,3,434000,3.72,1.87,940000,38810000,33360000,22460000,790000,3890000,1170000,1840000,2250000,17960000,12210000,16280000,44220000,323000,108000,509000,832000,2017-08-01
L022,2017,9,769,4,5,인천,20대,3,435000,3.73,1.87,940000,38610000,33250000,22490000,790000,3890000,1130000,1830000,2290000,17890000,12160000,16470000,43670000,325000,104000,511000,836000,2017-09-01
L022,2017,10,770,4,5,인천,20대,3,435000,3.72,1.87,910000,39180000,33620000,22770000,790000,3900000,1120000,1850000,2240000,18070000,12380000,16680000,44150000,323000,105000,482000,805000,2017-10-01
L022,2017,11,770,4,5,인천,20대,3,435000,3.72,1.87,930000,39260000,33770000,22970000,810000,3890000,1120000,1850000,2230000,18110000,12490000,16810000,44360000,319000,104000,507000,826000,2017-11-01
L022,2017,12,771,4,5,인천,20대,3,436000,3.73,1.87,920000,39350000,33670000,22940000,810000,3940000,1110000,1820000,2220000,18200000,12320000,16900000,43980000,322000,117000,481000,803000,2017-12-01
L032,2016,1,737,4,5,대전,20대,4,213000,3.51,1.86,630000,25530000,20910000,12590000,590000,3020000,530000,1320000,2580000,9050000,8490000,12280000,27000000,169000,60000,401000,570000,2016-01-01
L032,2016,2,771,4,5,대전,20대,4,245000,3.56,1.75,720000,30710000,25240000,16630000,670000,3290000,670000,1190000,3510000,10770000,10050000,14830000,31860000,235000,77000,408000,643000,2016-02-01
L032,2016,3,771,4,5,대전,20대,4,245000,3.57,1.74,710000,30810000,25380000,16780000,670000,3340000,660000,1220000,3530000,10750000,10180000,15100000,31750000,227000,73000,410000,637000,2016-03-01
L032,2016,4,771,4,5,대전,20대,3,247000,3.59,1.75,770000,30960000,25430000,16800000,680000,3330000,650000,1260000,3570000,10670000,10280000,15180000,31810000,245000,84000,441000,686000,2016-04-01
L032,2016,5,771,4,5,대전,20대,4,247000,3.59,1.76,730000,31000000,25480000,16780000,690000,3350000,620000,1280000,3560000,10630000,10360000,15280000,31840000,241000,76000,413000,654000,2016-05-01
L032,2016,6,771,4,5,대전,20대,3,248000,3.59,1.77,810000,31220000,25890000,17080000,720000,3350000,630000,1310000,3550000,10740000,10650000,15400000,32520000,271000,83000,456000,727000,2016-06-01
L032,2016,7,771,4,5,대전,20대,3,248000,3.58,1.77,770000,31250000,26010000,17050000,730000,3350000,640000,1380000,3590000,10850000,10630000,15520000,32790000,263000,80000,427000,690000,2016-07-01
L032,2016,8,773,4,5,대전,20대,3,248000,3.58,1.77,780000,31580000,26320000,17380000,740000,3310000,640000,1400000,3610000,10960000,10810000,15610000,33380000,258000,85000,437000,695000,2016-08-01
L032,2016,9,773,4,5,대전,20대,3,249000,3.59,1.78,820000,31770000,26550000,17440000,750000,3340000,680000,1440000,3580000,11120000,10900000,15730000,33610000,269000,81000,470000,739000,2016-09-01
L032,2016,10,773,4,5,대전,20대,3,249000,3.59,1.77,770000,31960000,26820000,17620000,760000,3330000,680000,1450000,3580000,11150000,11150000,15840000,33990000,250000,78000,442000,692000,2016-10-01
L032,2016,11,773,4,5,대전,20대,3,250000,3.59,1.77,800000,32020000,27140000,17730000,770000,3360000,680000,1510000,3600000,11200000,11380000,16030000,34530000,267000,85000,448000,715000,2016-11-01
L032,2016,12,773,4,5,대전,20대,3,250000,3.59,1.77,800000,31960000,27170000,17730000,780000,3380000,670000,1520000,3600000,11290000,11320000,16030000,34640000,260000,91000,449000,709000,2016-12-01
L032,2017,1,773,4,5,대전,20대,3,250000,3.58,1.77,830000,32080000,27290000,17690000,790000,3430000,650000,1540000,3590000,11330000,11440000,16050000,34810000,281000,88000,461000,742000,2017-01-01
L032,2017,2,774,4,5,대전,20대,3,244000,3.62,1.79,810000,31390000,26700000,16930000,800000,3420000,670000,1690000,3530000,11260000,10960000,15910000,33950000,272000,84000,454000,726000,2017-02-01
L032,2017,3,774,4,5,대전,20대,3,244000,3.63,1.78,770000,31290000,26600000,16800000,810000,3420000,700000,1710000,3500000,11280000,10880000,16020000,33690000,250000,81000,439000,689000,2017-03-01
L032,2017,4,774,4,5,대전,20대,3,245000,3.64,1.79,860000,31590000,26820000,16960000,830000,3470000,700000,1680000,3470000,11460000,10950000,16100000,34100000,282000,91000,487000,769000,2017-04-01
L032,2017,5,775,4,5,대전,20대,3,245000,3.63,1.79,800000,31860000,27010000,17090000,850000,3530000,680000,1670000,3480000,11800000,10780000,16470000,34230000,270000,85000,445000,715000,2017-05-01
L032,2017,6,775,4,5,대전,20대,3,245000,3.64,1.79,890000,31990000,27170000,17200000,880000,3570000,670000,1670000,3530000,11990000,10690000,16720000,34390000,298000,92000,500000,798000,2017-06-01
L032,2017,7,776,4,5,대전,20대,3,245000,3.63,1.79,830000,32370000,27430000,17420000,900000,3580000,670000,1660000,3470000,12370000,10630000,17080000,34430000,281000,86000,463000,744000,2017-07-01
L032,2017,8,776,4,5,대전,20대,3,245000,3.63,1.79,880000,32000000,27160000,17250000,890000,3560000,640000,1650000,3450000,12340000,10410000,17240000,33240000,297000,91000,492000,789000,2017-08-01
L032,2017,9,776,4,5,대전,20대,3,246000,3.63,1.79,880000,31790000,27070000,17200000,880000,3560000,620000,1640000,3480000,12280000,10370000,17190000,33050000,294000,88000,498000,792000,2017-09-01
L032,2017,10,776,4,5,대전,20대,3,246000,3.63,1.79,860000,31950000,27260000,17390000,880000,3560000,600000,1640000,3470000,12270000,10580000,17120000,33470000,290000,90000,480000,770000,2017-10-01
L032,2017,11,777,4,5,대전,20대,3,246000,3.63,1.79,860000,31790000,27140000,17360000,900000,3530000,600000,1640000,3430000,12320000,10460000,17140000,33200000,287000,88000,485000,772000,2017-11-01
L032,2017,12,777,4,5,대전,20대,3,246000,3.63,1.79,860000,31820000,27220000,17390000,910000,3530000,610000,1620000,3450000,12350000,10490000,17300000,33320000,292000,99000,469000,761000,2017-12-01
L042,2016,1,731,4,5,대구,20대,4,232000,4.01,2.05,690000,26620000,22170000,13600000,550000,3170000,710000,1380000,2740000,9620000,9060000,11470000,32620000,202000,74000,414000,616000,2016-01-01
L042,2016,2,774,4,5,대구,20대,4,359000,3.73,1.85,640000,33240000,27530000,17990000,650000,3390000,840000,1210000,3710000,11510000,11380000,13860000,39990000,208000,73000,359000,567000,2016-02-01
L042,2016,3,774,4,5,대구,20대,4,357000,3.75,1.85,650000,33210000,27700000,18110000,650000,3360000,830000,1280000,3940000,11440000,11410000,14120000,40100000,204000,69000,377000,581000,2016-03-01
L042,2016,4,774,4,5,대구,20대,4,358000,3.75,1.86,710000,33320000,27850000,18210000,650000,3350000,840000,1340000,3940000,11490000,11520000,14220000,40330000,220000,79000,411000,631000,2016-04-01
L042,2016,5,774,4,5,대구,20대,4,358000,3.76,1.87,660000,33570000,28110000,18390000,650000,3350000,850000,1390000,4040000,11520000,11660000,14510000,40540000,220000,73000,367000,587000,2016-05-01
L042,2016,6,774,4,5,대구,20대,4,358000,3.76,1.88,720000,33750000,28400000,18620000,670000,3440000,860000,1400000,4050000,11710000,11730000,14660000,40930000,237000,79000,404000,641000,2016-06-01
L042,2016,7,774,4,5,대구,20대,4,358000,3.75,1.88,710000,33950000,28720000,18800000,680000,3450000,900000,1480000,4080000,12070000,11660000,14800000,41230000,238000,76000,396000,634000,2016-07-01
L042,2016,8,776,4,5,대구,20대,4,358000,3.76,1.89,710000,34290000,28760000,18780000,690000,3450000,900000,1510000,4020000,12330000,11510000,14830000,41240000,237000,79000,394000,631000,2016-08-01
L042,2016,9,776,4,5,대구,20대,3,358000,3.77,1.9,760000,34720000,29190000,18900000,700000,3490000,980000,1550000,3950000,12750000,11590000,15000000,41900000,244000,76000,440000,684000,2016-09-01
L042,2016,10,776,4,5,대구,20대,4,361000,3.77,1.89,710000,34660000,29230000,19000000,710000,3490000,1020000,1560000,3890000,12830000,11600000,14940000,41850000,227000,73000,410000,637000,2016-10-01
L042,2016,11,776,4,5,대구,20대,4,362000,3.78,1.89,730000,34450000,29180000,18900000,720000,3480000,1060000,1610000,3760000,12920000,11590000,14910000,41930000,241000,79000,410000,651000,2016-11-01
L042,2016,12,776,4,5,대구,20대,4,362000,3.79,1.89,740000,34590000,29330000,18810000,730000,3510000,1090000,1620000,3750000,12940000,11720000,14910000,42240000,240000,84000,416000,656000,2016-12-01
L042,2017,1,776,4,5,대구,20대,3,362000,3.76,1.89,760000,34520000,29310000,18710000,740000,3580000,1090000,1620000,3740000,12980000,11650000,14990000,42150000,254000,83000,423000,677000,2017-01-01
L042,2017,2,777,4,5,대구,20대,3,360000,3.8,1.91,750000,34290000,28990000,18230000,760000,3560000,1120000,1800000,3670000,12800000,11580000,14860000,41520000,245000,80000,425000,670000,2017-02-01
L042,2017,3,777,4,5,대구,20대,4,359000,3.8,1.91,720000,34190000,28960000,18250000,770000,3560000,1120000,1830000,3650000,12880000,11510000,14910000,41540000,227000,76000,417000,644000,2017-03-01
L042,2017,4,777,4,5,대구,20대,3,360000,3.81,1.91,800000,34140000,29050000,18280000,800000,3620000,1130000,1810000,3640000,12880000,11600000,15060000,41820000,253000,86000,461000,714000,2017-04-01
L042,2017,5,777,4,5,대구,20대,4,361000,3.81,1.92,740000,34260000,29260000,18410000,820000,3600000,1130000,1780000,3730000,12990000,11600000,15220000,42130000,245000,79000,416000,661000,2017-05-01
L042,2017,6,777,4,5,대구,20대,3,361000,3.82,1.92,830000,33980000,29080000,18120000,840000,3610000,1130000,1800000,3780000,13010000,11350000,15170000,41810000,271000,86000,473000,744000,2017-06-01
L042,2017,7,778,4,5,대구,20대,3,361000,3.8,1.92,780000,34060000,29290000,18350000,860000,3630000,1080000,1770000,3780000,13090000,11470000,15240000,41960000,257000,82000,441000,698000,2017-07-01
L042,2017,8,778,4,5,대구,20대,3,362000,3.81,1.93,820000,33540000,28850000,18170000,860000,3540000,1060000,1740000,3740000,13000000,11180000,15410000,40090000,273000,88000,459000,732000,2017-08-01
L042,2017,9,778,4,5,대구,20대,3,362000,3.81,1.93,840000,33290000,28710000,18140000,870000,3530000,1030000,1740000,3710000,13210000,10860000,15540000,39540000,275000,85000,480000,755000,2017-09-01
L042,2017,10,779,4,5,대구,20대,3,363000,3.81,1.93,800000,33290000,28770000,18170000,870000,3530000,1010000,1780000,3680000,13330000,10820000,15630000,39550000,270000,86000,444000,714000,2017-10-01
L042,2017,11,779,4,5,대구,20대,3,363000,3.81,1.92,810000,33110000,28590000,18040000,890000,3550000,1060000,1780000,3620000,13510000,10520000,15650000,39030000,267000,85000,458000,725000,2017-11-01
L042,2017,12,779,4,5,대구,20대,3,363000,3.81,1.92,820000,33260000,28700000,18040000,900000,3560000,1040000,1760000,3650000,13650000,10440000,15660000,39110000,272000,96000,452000,724000,2017-12-01
L052,2016,1,731,4,5,광주,20대,4,180000,4.08,1.99,660000,26250000,22130000,12080000,550000,3270000,350000,1360000,3450000,9170000,8750000,12000000,31250000,183000,70000,407000,590000,2016-01-01
L052,2016,2,767,4,5,광주,20대,4,232000,4.08,1.87,670000,31490000,26330000,15830000,620000,3470000,540000,1190000,4170000,10710000,10540000,14530000,35220000,219000,76000,375000,594000,2016-02-01
L052,2016,3,767,4,5,광주,20대,4,231000,4.1,1.86,670000,31800000,26490000,15830000,620000,3470000,550000,1250000,4210000,10700000,10690000,14690000,35170000,212000,72000,386000,598000,2016-03-01
L052,2016,4,767,4,5,광주,20대,4,232000,4.11,1.87,740000,32060000,26610000,16000000,630000,3470000,590000,1260000,4220000,10830000,10670000,14800000,35300000,236000,84000,420000,656000,2016-04-01
L052,2016,5,767,4,5,광주,20대,4,232000,4.12,1.88,690000,32410000,27040000,16310000,630000,3490000,590000,1280000,4330000,10970000,10850000,15100000,35890000,225000,78000,387000,612000,2016-05-01
L052,2016,6,767,4,5,광주,20대,3,233000,4.12,1.89,760000,32780000,27390000,16490000,640000,3540000,630000,1300000,4350000,11190000,10970000,15400000,36120000,250000,82000,428000,678000,2016-06-01
L052,2016,7,767,4,5,광주,20대,4,233000,4.11,1.89,720000,32670000,27370000,16270000,650000,3540000,640000,1370000,4280000,11240000,10980000,15380000,36140000,246000,79000,395000,641000,2016-07-01
L052,2016,8,768,4,5,광주,20대,4,233000,4.12,1.89,740000,32970000,27850000,16570000,670000,3580000,660000,1400000,4290000,11590000,11090000,15540000,36950000,241000,83000,416000,657000,2016-08-01
L052,2016,9,768,4,5,광주,20대,3,234000,4.13,1.9,780000,33140000,28050000,16640000,680000,3620000,690000,1410000,4220000,11850000,11100000,15560000,37280000,254000,81000,445000,699000,2016-09-01
L052,2016,10,769,4,5,광주,20대,4,234000,4.13,1.89,740000,34190000,28210000,16740000,690000,3610000,680000,1400000,4180000,11930000,11210000,15590000,37230000,236000,77000,427000,663000,2016-10-01
L052,2016,11,769,4,5,광주,20대,3,235000,3.93,1.89,770000,34190000,28280000,16660000,700000,3590000,670000,1450000,4140000,11980000,11270000,15660000,37360000,253000,85000,432000,685000,2016-11-01
L052,2016,12,769,4,5,광주,20대,3,235000,3.94,1.89,770000,34380000,28300000,16450000,720000,3660000,660000,1480000,4080000,12030000,11280000,15660000,37470000,250000,91000,429000,679000,2016-12-01
L052,2017,1,769,4,5,광주,20대,3,235000,3.93,1.89,800000,34620000,28510000,16600000,730000,3660000,660000,1500000,4040000,12080000,11490000,15630000,37720000,267000,90000,443000,710000,2017-01-01
L052,2017,2,770,4,5,광주,20대,3,236000,3.99,1.91,780000,34120000,28060000,16210000,730000,3650000,600000,1660000,4030000,11950000,11190000,15460000,36870000,258000,82000,440000,698000,2017-02-01
L052,2017,3,770,4,5,광주,20대,3,235000,4.0,1.9,750000,34000000,28170000,16330000,740000,3610000,590000,1670000,4050000,12040000,11200000,15530000,37320000,237000,80000,433000,670000,2017-03-01
L052,2017,4,771,4,5,광주,20대,3,236000,4.0,1.91,830000,34050000,28360000,16450000,760000,3620000,600000,1670000,4000000,12230000,11250000,15600000,37640000,267000,92000,471000,738000,2017-04-01
L052,2017,5,771,4,5,광주,20대,3,236000,4.0,1.91,780000,34330000,28750000,16630000,780000,3660000,580000,1710000,4050000,12360000,11440000,15910000,38100000,260000,85000,435000,695000,2017-05-01
L052,2017,6,771,4,5,광주,20대,3,237000,4.0,1.91,870000,34080000,28710000,16460000,820000,3680000,580000,1700000,4100000,12420000,11280000,15970000,38090000,286000,91000,493000,779000,2017-06-01
L052,2017,7,772,4,5,광주,20대,3,237000,3.99,1.91,810000,34010000,28780000,16440000,860000,3710000,560000,1690000,4130000,12540000,11160000,16150000,37950000,269000,85000,456000,725000,2017-07-01
L052,2017,8,772,4,5,광주,20대,3,237000,3.99,1.91,860000,33780000,28440000,16360000,850000,3680000,540000,1660000,4090000,12540000,10900000,16300000,36590000,285000,90000,485000,770000,2017-08-01
L052,2017,9,772,4,5,광주,20대,3,237000,4.0,1.92,860000,34060000,28590000,16420000,860000,3670000,540000,1680000,4050000,12560000,11060000,16440000,36480000,285000,86000,489000,774000,2017-09-01
L052,2017,10,773,4,5,광주,20대,3,238000,3.96,1.92,830000,34410000,28820000,16530000,870000,3660000,510000,1730000,4080000,12620000,11190000,16500000,36940000,280000,89000,461000,741000,2017-10-01
L052,2017,11,773,4,5,광주,20대,3,238000,3.96,1.91,840000,35120000,29080000,16890000,880000,3650000,490000,1750000,4040000,12840000,11250000,16480000,37120000,274000,86000,480000,754000,2017-11-01
L052,2017,12,773,4,5,광주,20대,3,239000,3.96,1.91,840000,35380000,29550000,17180000,890000,3660000,500000,1740000,4190000,12860000,11560000,16540000,37820000,284000,98000,458000,742000,2017-12-01
L062,2016,1,727,4,5,부산,20대,4,326000,4.17,2.03,710000,25470000,21180000,12900000,590000,2930000,770000,1440000,2080000,10490000,7760000,10930000,31190000,208000,85000,417000,625000,2016-01-01
L062,2016,2,768,4,5,부산,20대,4,487000,3.94,1.85,690000,31480000,26210000,17080000,680000,3190000,1030000,1330000,2850000,12810000,9550000,13010000,38130000,227000,84000,379000,606000,2016-02-01
L062,2016,3,768,4,5,부산,20대,4,487000,3.96,1.85,690000,31510000,26250000,17020000,680000,3200000,1060000,1390000,2860000,12750000,9640000,13120000,38020000,218000,79000,393000,611000,2016-03-01
L062,2016,4,768,4,5,부산,20대,4,488000,3.97,1.86,760000,31600000,26400000,17160000,690000,3200000,1030000,1440000,2850000,12740000,9800000,13240000,38150000,244000,92000,424000,668000,2016-04-01
L062,2016,5,768,4,5,부산,20대,4,488000,3.96,1.87,710000,31930000,26740000,17450000,710000,3240000,1010000,1460000,2880000,12870000,9980000,13480000,38470000,237000,85000,388000,625000,2016-05-01
L062,2016,6,768,4,5,부산,20대,3,488000,3.97,1.88,770000,32400000,27260000,17680000,720000,3270000,1060000,1510000,2920000,13110000,10210000,13690000,39110000,258000,90000,422000,680000,2016-06-01
L062,2016,7,769,4,5,부산,20대,4,489000,3.96,1.88,750000,32530000,27530000,17760000,730000,3260000,1100000,1620000,2900000,13280000,10330000,13750000,39740000,254000,88000,408000,662000,2016-07-01
L062,2016,8,770,4,5,부산,20대,4,489000,3.96,1.89,750000,32630000,27670000,17850000,740000,3250000,1070000,1660000,2880000,13300000,10460000,13850000,39920000,254000,91000,405000,659000,2016-08-01
L062,2016,9,770,4,5,부산,20대,3,489000,3.98,1.89,800000,33050000,28080000,18160000,750000,3270000,1110000,1710000,2880000,13450000,10710000,14050000,40450000,263000,88000,449000,712000,2016-09-01
L062,2016,10,771,4,5,부산,20대,4,489000,3.98,1.89,750000,33500000,28450000,18320000,760000,3260000,1130000,1720000,2870000,13540000,11000000,14070000,41030000,246000,85000,419000,665000,2016-10-01
L062,2016,11,771,4,5,부산,20대,3,490000,3.96,1.89,770000,33770000,28660000,18460000,770000,3220000,1140000,1760000,2840000,13620000,11160000,14200000,41440000,261000,92000,417000,678000,2016-11-01
L062,2016,12,771,4,5,부산,20대,3,490000,3.97,1.88,780000,33980000,28920000,18630000,780000,3240000,1170000,1770000,2850000,13720000,11310000,14260000,41860000,260000,99000,421000,681000,2016-12-01
L062,2017,1,771,4,5,부산,20대,3,490000,3.96,1.88,810000,34020000,28910000,18420000,790000,3310000,1220000,1780000,2880000,13770000,11200000,14340000,41830000,274000,97000,439000,713000,2017-01-01
