cluster,avg_score,monthly_loan,monthly_bk_loan,monthly_cd_loan,monthly_installments_loan,monthly_insurance_loan,monthly_sbk_loan,credit_loan,mortgage_loan,inst_rep_loanb,ls_rep_loanb
2,774,26700000,16930000,800000,3420000,670000,1690000,15910000,33950000,11260000,10960000
2,774,26600000,16800000,810000,3420000,700000,1710000,16020000,33690000,11280000,10880000
2,774,26820000,16960000,830000,3470000,700000,1680000,16100000,34100000,11460000,10950000
2,775,27010000,17090000,850000,3530000,680000,1670000,16470000,34230000,11800000,10780000
2,775,27170000,17200000,880000,3570000,670000,1670000,16720000,34390000,11990000,10690000
2,776,27430000,17420000,900000,3580000,670000,1660000,17080000,34430000,12370000,10630000
2,776,27160000,17250000,890000,3560000,640000,1650000,17240000,33240000,12340000,10410000
2,776,27070000,17200000,880000,3560000,620000,1640000,17190000,33050000,12280000,10370000
2,776,27260000,17390000,880000,3560000,600000,1640000,17120000,33470000,12270000,10580000
2,777,27140000,17360000,900000,3530000,600000,1640000,17140000,33200000,12320000,10460000
2,777,27220000,17390000,910000,3530000,610000,1620000,17300000,33320000,12350000,10490000
2,731,22170000,13600000,550000,3170000,710000,1380000,11470000,32620000,9620000,9060000
2,774,27530000,17990000,650000,3390000,840000,1210000,13860000,39990000,11510000,11380000
2,774,27700000,18110000,650000,3360000,830000,1280000,14120000,40100000,11440000,11410000
2,774,27850000,18210000,650000,3350000,840000,1340000,14220000,40330000,11490000,11520000
2,774,28110000,18390000,650000,3350000,850000,1390000,14510000,40540000,11520000,11660000
2,774,28400000,18620000,670000,3440000,860000,1400000,14660000,40930000,11710000,11730000
2,774,28720000,18800000,680000,3450000,900000,1480000,14800000,41230000,12070000,11660000
2,776,28760000,18780000,690000,3450000,900000,1510000,14830000,41240000,12330000,11510000
2,776,29190000,18900000,700000,3490000,980000,1550000,15000000,41900000,12750000,11590000
2,776,29230000,19000000,710000,3490000,1020000,1560000,14940000,41850000,12830000,11600000
2,776,29180000,18900000,720000,3480000,1060000,1610000,14910000,41930000,12920000,11590000
2,776,29330000,18810000,730000,3510000,1090000,1620000,14910000,42240000,12940000,11720000
2,776,29310000,18710000,740000,3580000,1090000,1620000,14990000,42150000,12980000,11650000
2,777,28990000,18230000,760000,3560000,1120000,1800000,14860000,41520000,12800000,11580000
2,777,28960000,18250000,770000,3560000,1120000,1830000,14910000,41540000,12880000,11510000
2,777,29050000,18280000,800000,3620000,1130000,1810000,15060000,41820000,12880000,11600000
2,777,29260000,18410000,820000,3600000,1130000,1780000,15220000,42130000,12990000,11600000
2,777,29080000,18120000,840000,3610000,1130000,1800000,15170000,41810000,13010000,11350000
2,778,29290000,18350000,860000,3630000,1080000,1770000,15240000,41960000,13090000,11470000
2,778,28850000,18170000,860000,3540000,1060000,1740000,15410000,40090000,13000000,11180000
2,778,28710000,18140000,870000,3530000,1030000,1740000,15540000,39540000,13210000,10860000
2,779,28770000,18170000,870000,3530000,1010000,1780000,15630000,39550000,13330000,10820000
2,779,28590000,18040000,890000,3550000,1060000,1780000,15650000,39030000,13510000,10520000
2,779,28700000,18040000,900000,3560000,1040000,1760000,15660000,39110000,13650000,10440000
2,731,22130000,12080000,550000,3270000,350000,1360000,12000000,31250000,9170000,8750000
2,767,26330000,15830000,620000,3470000,540000,1190000,14530000,35220000,10710000,10540000
2,767,26490000,15830000,620000,3470000,550000,1250000,14690000,35170000,10700000,10690000
2,767,26610000,16000000,630000,3470000,590000,1260000,14800000,35300000,10830000,10670000
2,767,27040000,16310000,630000,3490000,590000,1280000,15100000,35890000,10970000,10850000
2,767,27390000,16490000,640000,3540000,630000,1300000,15400000,36120000,11190000,10970000
2,767,27370000,16270000,650000,3540000,640000,1370000,15380000,36140000,11240000,10980000
2,768,27850000,16570000,670000,3580000,660000,1400000,15540000,36950000,11590000,11090000
2,768,28050000,16640000,680000,3620000,690000,1410000,15560000,37280000,11850000,11100000
2,769,28210000,16740000,690000,3610000,680000,1400000,15590000,37230000,11930000,11210000
2,769,28280000,16660000,700000,3590000,670000,1450000,15660000,37360000,11980000,11270000
2,769,28300000,16450000,720000,3660000,660000,1480000,15660000,37470000,12030000,11280000
2,769,28510000,16600000,730000,3660000,660000,1500000,15630000,37720000,12080000,11490000
2,770,28060000,16210000,730000,3650000,600000,1660000,15460000,36870000,11950000,11190000
2,770,28170000,16330000,740000,3610000,590000,1670000,15530000,37320000,12040000,11200000
2,771,28360000,16450000,760000,3620000,600000,1670000,15600000,37640000,12230000,11250000
2,771,28750000,16630000,780000,3660000,580000,1710000,15910000,38100000,12360000,11440000
2,771,28710000,16460000,820000,3680000,580000,1700000,15970000,38090000,12420000,11280000
2,772,28780000,16440000,860000,3710000,560000,1690000,16150000,37950000,12540000,11160000
2,772,28440000,16360000,850000,3680000,540000,1660000,16300000,36590000,12540000,10900000
2,772,28590000,16420000,860000,3670000,540000,1680000,16440000,36480000,12560000,11060000
2,773,28820000,16530000,870000,3660000,510000,1730000,16500000,36940000,12620000,11190000
2,773,29080000,16890000,880000,3650000,490000,1750000,16480000,37120000,12840000,11250000
2,773,29550000,17180000,890000,3660000,500000,1740000,16540000,37820000,12860000,11560000
2,727,21180000,12900000,590000,2930000,770000,1440000,10930000,31190000,10490000,7760000
2,768,26210000,17080000,680000,3190000,1030000,1330000,13010000,38130000,12810000,9550000
2,768,26250000,17020000,680000,3200000,1060000,1390000,13120000,38020000,12750000,9640000
2,768,26400000,17160000,690000,3200000,1030000,1440000,13240000,38150000,12740000,9800000
2,768,26740000,17450000,710000,3240000,1010000,1460000,13480000,38470000,12870000,9980000
2,768,27260000,17680000,720000,3270000,1060000,1510000,13690000,39110000,13110000,10210000
2,769,27530000,17760000,730000,3260000,1100000,1620000,13750000,39740000,13280000,10330000
2,770,27670000,17850000,740000,3250000,1070000,1660000,13850000,39920000,13300000,10460000
2,770,28080000,18160000,750000,3270000,1110000,1710000,14050000,40450000,13450000,10710000
2,771,28450000,18320000,760000,3260000,1130000,1720000,14070000,41030000,13540000,11000000
2,771,28660000,18460000,770000,3220000,1140000,1760000,14200000,41440000,13620000,11160000
2,771,28920000,18630000,780000,3240000,1170000,1770000,14260000,41860000,13720000,11310000
2,771,28910000,18420000,790000,3310000,1220000,1780000,14340000,41830000,13770000,11200000
2,772,29140000,18480000,800000,3260000,1200000,1940000,14530000,41880000,13640000,11530000
2,773,29240000,18630000,810000,3270000,1200000,1980000,14670000,42000000,13720000,11500000
2,773,29480000,18810000,820000,3330000,1180000,1960000,14810000,42340000,13770000,11680000
2,773,29550000,18920000,840000,3330000,1150000,1980000,14970000,42270000,13840000,11680000
2,773,29870000,19130000,860000,3360000,1150000,2000000,15090000,42730000,13930000,11910000
2,774,30120000,19380000,870000,3360000,1160000,1980000,15310000,42880000,14090000,12010000
2,774,29920000,19250000,870000,3340000,1160000,1960000,15490000,41530000,14050000,11860000
2,774,29810000,19210000,870000,3320000,1150000,1950000,15530000,40960000,13910000,11880000
2,775,29590000,19120000,870000,3290000,1110000,2000000,15640000,40430000,14270000,11240000
2,775,29530000,19110000,890000,3310000,1090000,2000000,15650000,40210000,14150000,11350000
2,775,29520000,19170000,900000,3310000,1060000,1980000,15620000,40200000,14120000,11360000
2,742,26160000,15880000,530000,3960000,1050000,1370000,13590000,36490000,12130000,10130000
2,777,32420000,21190000,590000,4060000,1500000,1240000,16120000,44950000,14980000,12600000
2,777,32000000,20650000,600000,4120000,1490000,1300000,16110000,43980000,14770000,12460000
2,777,32340000,20790000,610000,4110000,1560000,1330000,16170000,44690000,14750000,12770000
2,777,32970000,21280000,610000,4110000,1640000,1350000,16510000,45490000,15080000,13070000
2,777,33180000,21440000,630000,4150000,1660000,1390000,16710000,45390000,15250000,13110000
2,777,33280000,21450000,640000,4140000,1710000,1510000,16790000,45500000,15150000,13260000
2,778,33430000,21560000,650000,4110000,1660000,1530000,16780000,45730000,15090000,13500000
2,778,33770000,21640000,670000,4120000,1760000,1570000,16840000,46410000,15260000,13660000
2,778,34550000,22380000,690000,4100000,1760000,1580000,17000000,47430000,15290000,14410000
2,778,34500000,22270000,700000,4130000,1730000,1620000,17110000,47390000,15290000,14410000
2,778,34290000,21960000,710000,4200000,1730000,1640000,17110000,47080000,15280000,14180000
2,779,34180000,21810000,730000,4240000,1720000,1640000,17100000,46960000,15180000,14360000
2,779,34290000,21800000,730000,4160000,1710000,1830000,16930000,47680000,15240000,14550000
2,779,34480000,21860000,740000,4150000,1750000,1890000,17190000,47900000,15380000,14640000
2,779,34430000,21740000,760000,4130000,1760000,1870000,17090000,47980000,15540000,14460000
2,779,34490000,21740000,780000,4100000,1750000,1870000,17210000,48140000,15550000,14500000
2,780,34830000,21900000,810000,4190000,1780000,1900000,17380000,48710000,15770000,14620000
2,780,35190000,22340000,820000,4180000,1760000,1860000,17490000,49340000,15490000,15350000
2,780,35110000,22390000,810000,4110000,1680000,1860000,17480000,48360000,15190000,15600000
2,780,34960000,22210000,810000,4120000,1660000,1850000,17540000,47790000,15300000,15270000
2,781,35420000,22280000,820000,4130000,1700000,2240000,17730000,48560000,15510000,15190000
2,781,35400000,22390000,830000,4130000,1660000,2220000,18010000,48340000,15530000,15520000
2,781,35070000,22350000,850000,4090000,1630000,1860000,18200000,47590000,15600000,15020000
2,732,24270000,15890000,540000,3370000,830000,1330000,13540000,31670000,12730000,8660000
2,771,29250000,20290000,610000,3540000,990000,1230000,16200000,37930000,14470000,10960000
2,771,29450000,20370000,620000,3530000,990000,1280000,16260000,38200000,14460000,11190000
2,771,29880000,20750000,620000,3550000,990000,1300000,16390000,38720000,14470000,11600000
2,771,30290000,21060000,630000,3570000,990000,1330000,16520000,39250000,14560000,11900000
2,771,30710000,21300000,650000,3610000,990000,1360000,16730000,39720000,14700000,12150000
2,772,31040000,21490000,670000,3620000,980000,1430000,16840000,40280000,14870000,12290000
2,773,31420000,21790000,680000,3620000,980000,1450000,16940000,40940000,15040000,12490000
2,773,31880000,22100000,690000,3640000,1010000,1480000,17170000,41510000,15290000,12710000
2,773,32240000,22340000,700000,3650000,1020000,1490000,17270000,41970000,15360000,13000000
2,773,32650000,22560000,720000,3660000,1030000,1540000,17480000,42550000,15530000,13250000
2,773,32820000,22600000,730000,3680000,1050000,1560000,17620000,42830000,15650000,13300000
2,774,32950000,22620000,740000,3720000,1070000,1580000,17690000,43020000,15710000,13370000
2,774,32950000,22520000,750000,3710000,1060000,1750000,17650000,43070000,15680000,13440000
2,775,33090000,22600000,760000,3700000,1070000,1770000,17680000,43410000,15760000,13550000
2,775,33300000,22710000,770000,3750000,1070000,1770000,17850000,43710000,15840000,13690000
2,775,33590000,22920000,780000,3780000,1060000,1770000,17950000,44140000,15910000,13910000
2,775,33770000,22990000,800000,3820000,1040000,1780000,18140000,44330000,15950000,14050000
2,776,34170000,23290000,810000,3850000,1040000,1750000,18320000,44710000,16170000,14230000
2,776,34270000,23460000,800000,3840000,1010000,1720000,18630000,44100000,16210000,14270000
2,776,34500000,23620000,810000,3840000,1000000,1710000,19000000,44050000,16320000,14320000
2,777,34840000,23850000,810000,3850000,980000,1740000,19200000,44470000,16450000,14510000
2,777,35020000,23970000,820000,3850000,970000,1740000,19300000,44680000,16520000,14630000
2,777,35230000,24180000,830000,3880000,990000,1710000,19500000,44910000,16600000,14750000
2,734,18610000,10070000,410000,4220000,440000,1260000,12260000,22470000,9130000,6110000
2,764,21520000,12370000,470000,4500000,550000,1190000,14150000,25330000,10200000,7190000
2,764,21370000,12310000,480000,4490000,520000,1230000,14270000,24820000,10190000,7060000
2,764,21610000,12470000,490000,4520000,520000,1280000,14430000,25050000,10240000,7230000
2,764,21780000,12530000,510000,4510000,530000,1310000,14550000,25250000,10310000,7360000
2,764,22050000,12680000,530000,4540000,550000,1320000,14680000,25660000,10460000,7440000
2,764,22270000,12740000,540000,4550000,560000,1440000,14820000,25920000,10500000,7580000
2,766,22430000,12850000,550000,4530000,570000,1480000,14940000,26150000,10520000,7740000
2,765,22740000,12990000,560000,4570000,610000,1490000,15110000,26440000,10680000,7880000
2,766,22980000,13010000,560000,4590000,640000,1540000,15230000,26700000,10670000,8140000
2,766,23340000,13170000,570000,4610000,650000,1610000,15530000,27050000,10890000,8270000
2,766,23630000,13510000,590000,4630000,640000,1670000,15730000,27430000,11130000,8330000
2,766,23680000,13420000,590000,4640000,650000,1680000,15710000,27520000,11100000,8400000
2,766,23940000,13510000,590000,4600000,630000,1860000,15920000,27690000,11110000,8530000
2,766,23950000,13570000,610000,4590000,610000,1870000,15830000,27750000,11020000,8690000
2,767,24060000,13690000,630000,4680000,610000,1850000,15910000,27860000,11100000,8740000
2,768,24440000,13970000,640000,4710000,610000,1880000,16020000,28420000,11320000,8870000
2,768,24710000,14090000,660000,4750000,650000,1910000,16270000,28750000,11440000,8940000
2,769,25150000,14440000,650000,4830000,650000,1890000,16590000,28690000,11640000,9190000
2,769,24930000,14310000,660000,4830000,630000,1880000,16750000,27810000,11640000,9030000
2,769,25110000,14370000,670000,4850000,610000,1870000,16860000,28090000,11660000,9250000
2,770,25280000,14380000,680000,4820000,610000,1900000,16900000,28420000,11770000,9340000
2,770,25360000,14550000,680000,4810000,650000,1880000,17020000,28640000,11870000,9400000
2,770,25710000,14870000,690000,4820000,610000,1880000,17160000,29170000,12030000,9590000
2,738,23380000,12860000,420000,3970000,730000,1140000,13390000,30000000,10730000,9260000
2,771,26900000,15680000,490000,4130000,950000,1170000,15340000,33870000,12400000,10450000
2,771,27120000,15760000,500000,4150000,960000,1230000,15490000,34090000,12460000,10580000
2,771,27530000,16100000,500000,4170000,970000,1280000,15570000,34650000,12550000,10950000
2,771,27810000,16250000,520000,4190000,990000,1310000,15790000,34890000,12650000,11020000
2,771,28460000,16700000,530000,4240000,1010000,1300000,15930000,35860000,12840000,11470000
2,771,28380000,16490000,530000,4250000,1010000,1400000,15990000,35720000,12800000,11410000
2,772,28510000,16560000,550000,4260000,1030000,1410000,16040000,36020000,12860000,11490000
2,772,28710000,16700000,560000,4280000,1060000,1410000,16290000,36200000,13060000,11500000
2,773,28740000,16690000,570000,4300000,1070000,1430000,16290000,36210000,13000000,11620000
2,773,28910000,16830000,580000,4330000,1060000,1450000,16360000,36430000,13030000,11800000
2,773,29150000,16900000,600000,4340000,1070000,1480000,16630000,36670000,13160000,11900000
2,773,29220000,16710000,620000,4410000,1070000,1510000,16690000,36770000,13250000,11910000
2,773,29450000,17180000,630000,4240000,1060000,1650000,17090000,36950000,13260000,11950000
2,773,29350000,17110000,640000,4250000,1050000,1710000,17150000,36740000,13370000,11770000
2,773,29460000,17040000,660000,4330000,1040000,1770000,17280000,36840000,13410000,11860000
2,774,29750000,17220000,690000,4340000,1010000,1760000,17480000,37320000,13620000,11920000
2,774,29950000,17250000,720000,4360000,1020000,1770000,17560000,37900000,13600000,12120000
2,774,30190000,17530000,740000,4370000,1040000,1760000,17730000,38000000,13730000,12220000
2,774,30100000,17510000,730000,4390000,990000,1790000,17950000,37270000,13640000,12240000
2,774,30140000,17500000,740000,4450000,960000,1790000,18150000,37060000,13680000,12210000
2,775,30360000,17710000,750000,4440000,920000,1820000,18290000,37390000,13710000,12420000
2,775,30590000,17910000,770000,4500000,900000,1820000,18340000,37670000,13790000,12590000
2,775,30750000,17900000,790000,4530000,930000,1860000,18390000,37900000,13980000,12560000
2,736,26550000,16250000,520000,4100000,780000,1350000,14740000,33840000,12420000,10400000
2,768,31730000,20660000,590000,4210000,980000,1290000,17230000,39680000,14400000,13130000
2,768,31900000,20650000,600000,4230000,990000,1360000,17470000,39780000,14570000,13150000
2,768,32100000,20920000,610000,4240000,990000,1380000,17500000,39990000,14550000,13380000
2,768,32350000,21040000,620000,4260000,1000000,1420000,17680000,40440000,14590000,13580000
2,768,32740000,21300000,640000,4300000,1000000,1430000,17800000,40890000,14690000,13790000
2,768,32770000,21250000,660000,4300000,980000,1520000,17730000,40960000,14660000,13870000
2,769,33180000,21520000,680000,4300000,980000,1560000,17890000,41510000,14630000,14270000
2,769,33480000,21550000,690000,4310000,1000000,1610000,18180000,41830000,14900000,14280000
2,769,33270000,21250000,710000,4290000,1020000,1610000,18250000,41530000,14720000,14260000
2,769,33810000,21650000,730000,4300000,1010000,1570000,18570000,42430000,15090000,14380000
2,769,34010000,21700000,740000,4330000,1020000,1620000,18700000,42830000,15250000,14390000
2,769,33990000,21620000,750000,4380000,1030000,1630000,18730000,42960000,15110000,14540000
2,768,33450000,20980000,750000,4410000,1010000,1820000,18710000,42100000,14940000,14250000
2,769,33450000,20900000,770000,4400000,1030000,1870000,18890000,42100000,15000000,14130000
2,769,33760000,21050000,790000,4470000,1050000,1840000,19290000,42420000,15150000,14060000
2,770,34150000,21300000,800000,4500000,1030000,1930000,19440000,42930000,15290000,14450000
2,769,34260000,21180000,820000,4550000,1030000,1960000,19490000,43160000,15390000,14500000
2,770,34380000,21190000,860000,4600000,1070000,1930000,19520000,43180000,15510000,14540000
2,770,34230000,21030000,880000,4560000,1060000,1910000,19690000,42390000,15580000,14350000
2,770,34230000,20910000,890000,4590000,1050000,1930000,19950000,42080000,15680000,14220000
2,771,34290000,20870000,890000,4560000,1070000,1950000,19930000,42310000,15770000,14220000
2,771,34240000,20810000,900000,4580000,1060000,1960000,20120000,42210000,15960000,13990000
2,771,34060000,20690000,910000,4610000,1060000,1920000,20180000,41980000,15810000,13930000
2,729,22580000,13100000,480000,3720000,900000,1270000,13440000,29090000,10250000,8240000
2,762,25970000,15510000,540000,3860000,1040000,1230000,15300000,32900000,11190000,9650000
2,762,26140000,15530000,560000,3920000,1050000,1270000,15530000,32850000,11260000,9710000
2,762,26350000,15610000,560000,3930000,1100000,1280000,15630000,32870000,11380000,9810000
2,762,26510000,15670000,580000,3920000,1080000,1300000,15760000,33020000,11470000,9870000
2,762,26930000,15920000,610000,3970000,1090000,1340000,15940000,33630000,11720000,9950000
2,763,26970000,15920000,620000,3950000,1060000,1440000,15970000,33750000,11810000,9930000
2,764,27240000,16120000,640000,3950000,1110000,1460000,16110000,34110000,11940000,10120000
2,764,27350000,16130000,660000,3970000,1160000,1480000,16160000,34240000,12200000,10060000
2,765,27420000,16080000,680000,3970000,1210000,1490000,16250000,34210000,12300000,9980000
2,765,27490000,16090000,690000,4000000,1200000,1540000,16250000,34270000,12220000,10150000
2,765,27360000,16040000,710000,4010000,1200000,1560000,16220000,34080000,12300000,10000000
2,765,27680000,16160000,720000,4090000,1190000,1580000,16320000,34550000,12420000,10200000
2,766,27520000,15810000,730000,4080000,1200000,1710000,16310000,34240000,12520000,10050000
2,766,27570000,15960000,740000,4080000,1170000,1720000,16470000,34240000,12460000,10100000
2,767,27560000,16050000,760000,4130000,1130000,1700000,16620000,34270000,12510000,9960000
2,767,27570000,16040000,780000,4160000,1100000,1710000,16800000,34180000,12630000,9940000
2,767,27810000,16210000,790000,4200000,1090000,1730000,16970000,34500000,12820000,9960000
2,768,28070000,16460000,810000,4200000,1100000,1700000,17100000,34790000,13040000,9940000
2,768,27930000,16450000,820000,4130000,1080000,1690000,17240000,34040000,12960000,9930000
2,768,27880000,16410000,820000,4140000,1060000,1680000,17360000,33790000,13010000,9840000
2,769,27910000,16450000,820000,4100000,1030000,1690000,17310000,34000000,13030000,9840000
2,769,27950000,16500000,840000,4110000,1010000,1700000,17350000,34070000,13030000,9750000
2,769,28100000,16520000,840000,4160000,980000,1700000,17500000,34180000,13120000,9770000
2,736,21780000,11680000,440000,4120000,420000,1230000,13700000,27820000,10360000,7570000
2,765,24720000,13980000,520000,4330000,490000,1260000,15210000,31000000,11350000,8770000
2,764,24670000,13960000,530000,4300000,480000,1310000,15430000,30480000,11350000,8740000
2,765,25060000,14150000,560000,4340000,480000,1350000,15600000,30940000,11430000,9070000
2,764,25130000,14270000,570000,4310000,490000,1360000,15760000,30990000,11440000,9080000
2,764,25400000,14550000,590000,4340000,510000,1380000,16060000,31340000,11620000,9120000
2,765,25530000,14540000,600000,4300000,510000,1500000,16160000,31760000,11630000,9230000
2,765,25710000,14680000,600000,4290000,530000,1510000,16330000,31960000,11730000,9330000
2,766,26150000,14910000,630000,4330000,560000,1550000,16520000,32620000,11950000,9560000
2,766,26180000,14980000,640000,4340000,550000,1550000,16570000,32660000,11990000,9570000
2,766,26400000,15110000,660000,4350000,550000,1620000,16760000,32930000,12140000,9630000
2,766,26340000,14940000,670000,4420000,550000,1630000,16750000,32860000,12070000,9630000
2,766,26560000,15050000,680000,4470000,560000,1650000,16910000,33220000,12090000,9830000
2,767,26460000,14870000,680000,4360000,540000,1770000,16690000,33170000,12030000,9860000
2,767,26520000,14870000,690000,4350000,550000,1810000,16740000,33230000,12170000,9840000
2,767,26510000,14900000,710000,4350000,530000,1800000,16850000,33060000,12220000,9780000
2,768,26670000,15020000,730000,4340000,550000,1800000,17110000,33090000,12370000,9690000
2,768,26810000,15060000,760000,4390000,520000,1830000,17450000,33000000,12450000,9710000
2,769,27130000,15380000,770000,4410000,510000,1820000,17710000,33240000,12680000,9780000
2,769,27280000,15660000,780000,4370000,490000,1800000,18020000,32750000,12770000,9810000
2,769,27660000,15930000,790000,4400000,490000,1800000,18150000,33230000,13110000,9840000
2,770,27690000,15840000,800000,4390000,490000,1860000,18200000,33200000,13260000,9800000
2,770,28000000,16140000,800000,4430000,470000,1860000,18330000,33480000,13460000,9970000
2,770,28210000,16260000,810000,4440000,460000,1830000,18540000,33660000,13500000,10080000
2,735,22830000,12980000,480000,3760000,540000,1390000,12520000,30510000,9730000,9760000
2,770,27510000,16860000,560000,3980000,710000,1270000,14290000,36400000,11380000,12040000
2,770,27650000,16920000,560000,3980000,720000,1350000,14470000,36670000,11420000,12110000
2,770,27870000,17030000,570000,3960000,750000,1380000,14600000,37020000,11570000,12180000
2,770,28100000,17370000,590000,3970000,740000,1410000,14880000,37210000,11720000,12230000
2,770,28440000,17720000,600000,3970000,730000,1440000,15050000,37590000,11850000,12440000
2,771,28570000,17740000,610000,3960000,740000,1560000,15170000,37850000,11900000,12480000
2,772,28810000,17890000,620000,3960000,730000,1590000,15360000,38170000,12120000,12490000
2,772,29040000,18040000,620000,3990000,740000,1600000,15440000,38620000,12320000,12510000
2,772,29310000,18290000,640000,4000000,730000,1600000,15440000,38960000,12300000,12820000
2,772,29480000,18260000,640000,4030000,750000,1670000,15590000,39260000,12360000,12930000
2,772,29530000,18220000,660000,4050000,760000,1680000,15660000,39340000,12300000,13050000
